iteration,seconds,mse,rmse,mae,wmape,smape
50,2861,51.90430533570829,7.204464264309199,5.626215898426604,125.02701996503565,105.88833622085825
51,2918,37.21525694070684,6.100430881561305,5.531129860046882,115.76783428005102,80.30644626683551
52,2975,21.787103714817505,4.667665767256424,3.9921651572326247,51.51180848042096,52.444422076022754
53,3032,59.243137683390145,7.696956390898298,7.376818472976115,245.89394909920387,118.17799368524709
54,3090,58.06744814078403,7.620200006612952,6.931913507228238,157.9493979505307,105.09139485161829
55,3147,34.608180374810736,5.882871779565719,3.792882565093271,59.88761944884112,71.01030538371698
56,3204,51.444828448591615,7.172505033012637,6.502403982023198,167.8039737296309,103.54617004804929
57,3261,52.6386556147487,7.255250210347587,6.602577913896104,173.75205036568696,106.1737745037328
58,3318,53.4232881271636,7.30912362237523,6.810607412864119,191.54833348680336,105.4975489567836
59,3375,45.85322068363105,6.771500622729873,6.313107949213302,132.90753577291164,98.66082983891889
60,3432,47.107418989192304,6.86348446411823,6.296404609807015,157.41011524517538,96.8628980835509
61,3489,58.896958530328526,7.6744353883740875,7.385981723210884,307.74923846712016,131.9717829799824
62,3546,56.57349371073919,7.52153532935525,6.847525106323739,172.11014629898088,108.58430828801362
63,3603,54.031493952876176,7.3506118080657865,6.526215898426605,181.2837749562946,112.20535853842841
64,3660,42.52050138330383,6.520774599946224,5.928110034562133,134.72977351277575,88.79782251871134
65,3717,17.02565764042847,4.126215898426604,4.126215898426604,68.77026497377673,51.17401285479738
66,3775,12.908115036545373,3.592786528106753,2.6748012358047877,36.145962646010645,35.693976020643184
67,3832,26.27808943728168,5.126215898426604,5.126215898426604,102.5243179685321,67.77922426665643
68,3889,58.21513579037605,7.629884389057023,6.893413886429088,178.2199687710935,108.73327893989119
69,3946,26.27808943728168,5.126215898426604,5.126215898426604,102.5243179685321,67.77922426665643
70,4003,61.09777599549619,7.816506636311146,7.18034547727159,171.47093677066485,109.13632933680762
